# wavelength  elem  eqw 
 4039.570   VII    42.834 
 4039.830    YI    31.523 
 4039.941   FeI    94.290 
 4040.097   FeI   101.533 
 4040.240  ZrII    59.399 
 4040.310   TiI    74.151 
 4040.633   FeI   150.338 
 4040.760  CeII    83.176 
 4040.786   CoI    41.999 
 4040.800  NdII    83.472 
 4041.056  NdII    33.748 
 4041.271   FeI   108.334 
 4041.322   MnI   111.331 
 4041.323   MnI   140.741 
 4041.328   MnI   120.021 
 4041.330   MnI   143.489 
 4041.331   MnI   111.332 
 4041.337   MnI   122.504 
 4041.339   MnI   149.152 
 4041.341   MnI   120.021 
 4041.347   MnI   120.685 
 4041.350   MnI   156.350 
 4041.353   MnI   122.504 
 4041.361   MnI   112.305 
 4041.364   MnI   164.642 
 4041.367   MnI   120.686 
 4041.381   MnI   173.856 
 4041.384   MnI   112.305 
 4041.649   FeI   123.116 
 4041.779   CrI    30.521 
 4041.912   FeI    48.082 
 4042.232   CrI    48.084 
 4042.580  CeII    66.397 
 4042.756   FeI    30.064 
 4042.897  SmII    31.423 
 4042.901  LaII    67.570 
 4042.910  LaII    62.671 
 4043.599   ZrI    51.633 
 4043.682   CrI    54.412 
 4043.750   TiI    84.339 
 4043.888   FeI   125.143 
 4043.897   FeI   167.374 
 4043.976   FeI   114.928 
 4044.150    KI    64.787 
 4044.484   FeI    81.844 
 4044.546   FeI    91.408 
 4044.567   ZrI    33.088 
 4044.610   FeI   154.894 
 4044.813  PrII    46.466 
 4045.114   MnI    85.002 
 4045.139   FeI    93.244 
 4045.193   MnI    59.164 
 4045.377   NiI    46.536 
 4045.390   CoI   154.066 
 4045.474  HoII    61.716 
 4045.584   FeI   107.845 
 4045.610  ZrII    95.721 
 4045.820   FeI  3237.188 
 4046.061   FeI    81.455 
 4046.340  CeII    43.738 
 4046.460   FeI    49.476 
 4046.738   CrI    33.171 
 4046.746   NiI    32.922 
 4047.210    KI    51.732 
 4047.304   FeI    94.603 
 4047.628    YI    62.991 
 4047.790   ScI   105.093 
 4048.600    VI    48.017 
 4048.670  ZrII   107.234 
 4048.750   MnI   181.037 
 4048.780   CrI    85.528 
 4048.810  NdII    39.236 
 4048.969   NiI    44.835 
 4048.985   MnI    65.845 
 4049.279   CoI    78.579 
 4049.340   FeI   106.901 
 4049.400   TiI    40.734 
 4049.423  GdII    38.737 
 4049.772   FeI    30.238 
 4049.855  GdII    46.891 
 4049.991   CrI    30.946 
 4050.330  ZrII    87.201 
 4050.510   FeI    70.522 
 4050.565  DyII    47.580 
 4050.674   FeI    93.418 
 4050.960    VI    70.915 
 4051.054   VII    38.660 
 4051.150  NdII    35.117 
 4051.314   FeI    59.100 
 4051.350    VI    73.876 
 4051.730   MnI    84.115 
 4051.906   FeI   125.640 
 4051.948  CrII    56.103 
 4052.015   FeI    72.700 
 4052.284   FeI    74.592 
 4052.314   FeI    87.374 
 4052.435    VI     0.494 
 4052.437    VI     0.938 
 4052.437    VI     0.494 
 4052.437    VI     0.047 
 4052.439    VI     1.285 
 4052.439    VI     0.938 
 4052.439    VI     0.236 
 4052.444    VI     1.494 
 4052.444    VI     1.285 
 4052.444    VI     0.658 
 4052.449    VI     1.518 
 4052.449    VI     1.494 
 4052.449    VI     1.402 
 4052.456    VI     2.544 
 4052.456    VI     1.518 
 4052.456    VI     1.309 
 4052.456   FeI    37.497 
 4052.464    VI     4.156 
 4052.464    VI     1.309 
 4052.464    VI     0.822 
 4052.472   MnI    52.528 
 4052.474    VI     6.278 
 4052.474    VI     0.822 
 4052.485   FeI   119.425 
 4052.655   FeI    90.509 
 4052.708   FeI   101.495 
 4052.908   TiI    89.272 
 4052.919   CoI    47.048 
 4053.241    VI    99.443 
 4053.271   FeI   109.997 
 4053.425   FeI    57.668 
 4053.510  CeII    42.218 
 4053.810  TiII   114.903 
 4053.826   FeI    88.622 
 4054.099  CrII    50.701 
 4054.180   FeI    85.664 
 4054.442   FeI    87.163 
 4054.518   ScI    77.571 
 4054.544   ScI   113.344 
 4054.688   MgI    59.052 
 4054.806   FeI   148.399 
 4054.860  PrII    56.184 
 4054.870   FeI   112.457 
 4055.012   TiI   135.661 
 4055.030   FeI   159.510 
 4055.030   ZrI    44.760 
 4055.036   ZrI    44.539 
 4055.220   MnI   146.462 
 4055.465  ErII    35.402 
 4055.518   MnI   112.920 
 4055.518   MnI   101.471 
 4055.522   MnI   110.390 
 4055.523   MnI   115.755 
 4055.523   MnI   101.472 
 4055.529   MnI   113.275 
 4055.530   MnI   123.530 
 4055.531   MnI   110.390 
 4055.538   MnI   111.901 
 4055.539   MnI   132.290 
 4055.540   MnI   113.276 
 4055.549   MnI   103.751 
 4055.551   MnI   141.253 
 4055.552   MnI   111.902 
 4055.564   MnI   150.342 
 4055.566   MnI   103.751 
 4055.972   FeI    37.509 
 4056.181  TiII    91.641 
 4056.270   VII    38.102 
 4056.347   FeI    95.929 
 4056.452   FeI    90.575 
 4056.535  PrII    49.991 
 4056.545   FeI    58.353 
 4057.065    VI    30.363 
 4057.158   CoI    27.197 
 4057.166   CoI    52.678 
 4057.166   CoI    43.942 
 4057.170   CoI    43.942 
 4057.175   CoI    54.348 
 4057.177   CoI    70.447 
 4057.183   CoI    33.623 
 4057.189   CoI    54.863 
 4057.191   CoI    82.595 
 4057.198   CoI    21.663 
 4057.206   CoI    44.625 
 4057.212   CrI    62.364 
 4057.218   CoI     9.143 
 4057.266   NiI    35.086 
 4057.340   FeI   131.125 
 4057.447   FeI    40.788 
 4057.505   MgI   175.049 
 4057.535   CaI    30.145 
 4057.625   TiI    82.178 
 4057.655   FeI   113.340 
 4057.901   MnI     8.946 
 4057.905   MnI    17.258 
 4057.911   MnI     8.112 
 4057.912   MnI    12.134 
 4057.918   MnI    23.110 
 4057.928   MnI     5.542 
 4057.929   MnI    26.601 
 4057.939   MnI    24.004 
 4057.951   MnI     2.378 
 4057.953   MnI    41.038 
 4057.966   MnI    18.289 
 4057.984   MnI    53.819 
 4058.109    VI    87.709 
 4058.145   TiI    80.937 
 4058.183   CoI   123.625 
 4058.220   FeI   138.593 
 4058.576   CoI    31.693 
 4058.576   CoI    30.618 
 4058.576   CoI    24.688 
 4058.616   CoI    50.165 
 4058.616   CoI    31.694 
 4058.616   CoI    13.073 
 4058.741   NiI    31.198 
 4058.754   FeI   153.099 
 4058.772   CrI    75.672 
 4058.908   MnI   116.240 
 4058.913   CaI   107.626 
 4058.913   MnI   121.267 
 4058.921   MnI   116.951 
 4058.926   NbI    80.176 
 4058.927   MnI    96.747 
 4058.935   MnI   121.268 
 4058.945   MnI   138.147 
 4059.160   FeI    32.079 
 4059.307   CoI    54.360 
 4059.360   MnI    28.550 
 4059.363   MnI    28.550 
 4059.371   MnI    29.333 
 4059.381   MnI    28.308 
 4059.386   MnI    28.308 
 4059.396   MnI    47.908 
 4059.408   MnI    21.160 
 4059.414   MnI    21.160 
 4059.427   MnI    63.857 
 4059.712   FeI   125.021 
 4059.960  NdII    37.895 
 4060.084   TiI    55.848 
 4060.263   TiI   124.363 
 4060.757   FeI    75.299 
 4060.841    VI    37.156 
 4061.090  NdII    86.691 
 4061.095   FeI   112.763 
 4061.672   MnI    18.630 
 4061.675   MnI    19.725 
 4061.680   MnI    31.020 
 4061.683   MnI     3.854 
 4061.687   MnI    27.146 
 4061.694   MnI    43.381 
 4061.698   MnI     4.593 
 4061.705   MnI    30.411 
 4061.715   MnI    54.550 
 4061.720   MnI     3.479 
 4061.729   MnI    29.117 
 4061.741   MnI    64.086 
 4061.747   MnI     1.573 
 4061.759   MnI    21.302 
 4061.773   MnI    72.141 
 4061.953   FeI   101.632 
 4062.440   FeI   194.291 
 4062.507   CaI    48.887 
 4062.637   CuI    41.452 
 4062.805  PrII    64.918 
